Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
run_20250815_184358,Qwen/Qwen2.5-1.5B,1,1,1,512,512,8,8.0,3,0.7,0.9,40.02641121546427,37.62078285217285,47.907209396362305,58.80707502365112,15.925008455912272,13.691306114196777,23.399257659912113,32.7654457092285,12.048768599828085,11.909961700439453,12.758541107177734,13.75659704208374,0.924688975016276,0.9393692016601562,1.2512683868408208,1.529543399810791,40.95110019048055,38.622498512268066,48.59788417816162,59.3496561050415,24.59069627364019,300,90561,900
run_20250815_184457,Qwen/Qwen2.5-1.5B,2,1,1,512,512,8,8.0,3,0.7,0.9,42.02733039855957,41.17715358734131,47.85780906677246,57.44193792343138,17.565159797668457,16.65937900543213,22.995162010192875,33.19272041320799,12.22932775815328,12.122392654418945,12.482166290283203,14.203810691833485,0.8829387029012045,0.8341073989868164,1.26953125,1.5768194198608392,42.91026910146078,41.968584060668945,48.68035316467285,58.70839357376097,24.552108265996726,300,90561,900
run_20250815_184558,Qwen/Qwen2.5-1.5B,4,1,1,512,512,8,8.0,3,0.7,0.9,42.13496605555216,41.42940044403076,48.394060134887695,59.25363302230832,17.763270537058514,17.103075981140137,23.481464385986328,32.10698843002318,12.184140682220459,12.074947357177734,12.508416175842285,15.144236087799069,0.8277050654093424,0.7829666137695312,1.1568307876586916,1.5812063217163086,42.96267112096151,42.203545570373535,49.20847415924072,59.929540157318094,23.403858180650047,300,90561,900
run_20250815_184701,Qwen/Qwen2.5-1.5B,8,1,1,512,512,8,8.0,3,0.7,0.9,45.080718199412026,43.591856956481934,51.688957214355476,71.72202110290525,19.043762683868408,17.663002014160156,26.17883682250977,38.267886638641315,13.016699949900309,12.853026390075684,13.290643692016602,17.334058284759475,0.8277670542399088,0.7613897323608398,1.1248111724853516,1.5417051315307604,45.90848525365194,44.27480697631836,52.56617069244385,73.14345359802243,23.591698795615567,300,90561,900
run_20250815_184806,Qwen/Qwen2.5-1.5B,1,2,1,512,512,8,8.0,3,0.7,0.9,57.650275230407715,54.430246353149414,70.93181610107422,98.0220365524292,26.072120666503906,23.549199104309082,37.59546279907227,60.41791200637814,15.786980787913004,14.714837074279785,18.242478370666504,29.2478084564209,0.9829894701639811,1.0117292404174805,1.299452781677246,1.567778587341308,58.633264700571694,55.52256107330322,71.79017066955566,98.66873025894165,25.29555207280331,300,90561,900
run_20250815_184908,Qwen/Qwen2.5-1.5B,2,2,1,512,512,8,8.0,3,0.7,0.9,61.72449747721354,59.88454818725586,71.33195400238039,93.68042469024658,29.868086179097492,28.2747745513916,38.860654830932624,56.02708101272577,15.926610628763834,15.39623737335205,16.69161319732666,25.940346717834473,0.8085878690083822,0.7697343826293945,1.0739326477050781,1.4350438117980946,62.533085346221924,60.701847076416016,72.15285301208496,94.71452474594116,23.94083989001949,300,90561,900
run_20250815_185013,Qwen/Qwen2.5-1.5B,4,2,1,512,512,8,8.0,3,0.7,0.9,64.48145866394043,58.770060539245605,72.74339199066164,185.94460725784194,32.21586227416992,27.652740478515625,40.74416160583496,150.45630455016988,16.13123933474223,15.44344425201416,16.879653930664062,29.08296346664428,0.8104483286539713,0.7467269897460938,1.0880708694458008,1.4799356460571278,65.2919069925944,59.54265594482422,73.49565029144287,187.65084505081072,22.761583662544485,300,90561,900
run_20250815_185123,Qwen/Qwen2.5-1.5B,1,4,1,512,512,8,8.0,3,0.7,0.9,59.448440869649254,57.414889335632324,71.2419986724854,95.02861022949213,27.360187371571858,24.96814727783203,37.57529258728028,52.38425970077514,16.0426922639211,14.699459075927734,19.638895988464355,31.61950588226318,0.7023946444193522,0.6750822067260742,0.8744239807128907,1.0839319229125977,60.1508355140686,58.08079242706299,71.80337905883793,95.74414968490595,23.4303015524956,300,90561,900
run_20250815_185229,Qwen/Qwen2.5-1.5B,2,4,1,512,512,8,8.0,3,0.7,0.9,64.21976168950398,61.065077781677246,75.43172836303711,99.15401697158745,31.62301778793335,29.08933162689209,42.13695526123048,62.901124954223086,16.296897729237873,15.38538932800293,17.500638961792006,30.415544509887695,0.7370050748189291,0.7098913192749023,0.9464740753173828,1.2747430801391595,64.95676676432292,61.9431734085083,76.25396251678467,99.77955102920464,21.953668036482018,300,90561,900
run_20250820_070945,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,8.0,3,0.7,0.9,97.1768045425415,93.60730648040771,121.93522453308108,148.02241563796989,45.28719584147135,40.15505313873291,64.27781581878665,98.29895496368407,25.94270348548889,22.985339164733887,34.69371795654297,42.239556312561035,0.8109760284423828,0.8169412612915039,1.1449098587036133,1.3639593124389646,97.98778057098389,94.32709217071533,122.53570556640628,148.5890555381774,23.50994897486089,300,94752,900
