Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens,Process_Time_Seconds,Total_Time_With_Init_Seconds
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,49.92804527282715,49.03078079223633,61.84237003326416,70.58962821960448,21.659239927927654,20.585179328918457,31.118202209472667,38.36076974868774,14.13295030593872,13.475656509399414,16.492295265197754,18.752775192260742,0.7841952641805013,0.7388591766357422,1.02386474609375,1.310491561889648,50.71224053700765,49.83317852020264,62.575387954711914,71.61694526672362,86.61035840621403,300.0,90561.0,900.0,10.403,28.224
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,69.30051485697429,62.375664710998535,78.35502624511719,260.35967111587496,34.75021998087565,29.056906700134277,42.62082576751709,222.33655214309687,17.27367679278056,16.334176063537598,17.83928871154785,20.782673358917236,0.7978256543477377,0.7554292678833008,1.018214225769043,1.3597130775451658,70.09834051132202,63.163042068481445,79.09796237945557,261.10873222351046,82.83200040101904,300.0,90561.0,900.0,10.877,31.373
Qwen/Qwen2.5-1.5B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,68.59647750854492,65.68026542663574,86.26317977905275,104.25078153610228,32.92933781941732,31.539320945739746,48.24225902557374,63.29115390777587,17.831755479176838,17.75515079498291,21.29967212677002,25.652353763580315,0.9643737475077311,0.8720159530639648,1.406097412109375,1.8774175643920887,69.56085125605266,66.5520429611206,87.51821517944336,106.56917095184326,89.52586795170467,300.0,90561.0,900.0,10.065,31.484
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,58.079256216684975,56.8617582321167,68.15166473388672,95.49247264862053,26.02903683980306,24.216651916503906,34.5958948135376,54.255826473236006,16.02339784304301,16.149282455444336,17.893123626708984,20.953118801116943,0.9361481666564941,0.8467435836791992,1.3226509094238283,1.8097281455993635,59.01540438334147,57.75415897369385,69.61426734924316,96.83086156845084,68.51567243583239,300.0,90561.0,900.0,13.147,30.773
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,71.18732770284016,67.18337535858154,84.9522590637207,160.65342903137207,34.85297520955404,32.29844570159912,45.26088237762451,113.902268409729,18.16528081893921,17.8835391998291,21.06456756591797,36.1054491996765,1.1628135045369465,1.143813133239746,1.5773773193359377,2.087066173553466,72.35014120737712,68.6497688293457,86.16080284118654,161.9231939315796,83.80638358476924,300.0,90561.0,900.0,10.751,31.624
Qwen/Qwen2.5-1.5B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,74.40908114115398,70.04153728485107,83.52115154266357,257.0596313476559,34.55040375391642,31.557321548461914,41.869163513183594,153.53575944900513,19.92777427037557,19.209623336791992,22.6881742477417,54.35351371765137,0.880432923634847,0.826716423034668,1.1548042297363283,1.5666985511779783,75.28951406478882,70.98090648651123,84.19945240020753,259.27699804305996,91.5691233123686,300.0,90561.0,900.0,9.841,33.523
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,58.0077608426412,56.70046806335449,67.72048473358154,97.44158983230591,26.210073630015057,24.991393089294434,34.096479415893555,57.48843669891353,15.897428194681803,15.984773635864258,18.004918098449707,31.06755495071411,0.8067695299784342,0.7666349411010742,1.029014587402344,1.4014172554016109,58.81453037261963,57.53278732299805,68.49052906036377,98.35111379623412,73.17134973287892,300.0,90561.0,900.0,12.311,30.004
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,72.38484144210815,67.1379566192627,81.02304935455324,222.87683248519892,34.8965056737264,31.330466270446777,41.2081003189087,154.52286481857297,18.742608626683552,17.43006706237793,21.829962730407715,36.75719261169426,0.890664259592692,0.859379768371582,1.1757850646972656,1.5827059745788574,73.27550570170085,68.02809238433838,81.82525634765626,223.82905244827265,85.21409319918496,300.0,90561.0,900.0,10.574,33.865
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,55.903282165527344,53.80892753601074,63.33351135253907,108.16322326660152,26.14362319310506,24.617552757263184,32.33976364135742,73.90579462051384,14.8782479763031,14.299988746643066,15.825605392456055,28.586335182189934,0.8559203147888184,0.8018016815185547,1.1077642440795898,1.4844298362731931,56.75920248031616,54.631829261779785,64.37492370605469,108.92782688140865,83.38105547354003,300.0,90561.0,900.0,10.805,32.182
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,29.0,3.0,0.7,0.9,148.82511536280313,143.91803741455078,231.07168674468997,289.0643763542175,85.18348614374797,76.43866539001465,153.88946533203128,209.30035591125483,31.819355090459187,38.41602802276611,40.05484580993652,41.20416879653931,0.7077280680338541,0.6630420684814453,0.9222269058227539,1.1593294143676756,149.532843430837,144.68955993652344,231.85241222381595,289.9836158752441,85.0940749412548,300.0,94752.0,900.0,10.588,32.287
