Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,63.51435820261637,61.34140491485596,79.33118343353273,105.93659639358516,29.768900871276855,26.259303092956543,42.3374652862549,60.67543745040892,16.870789130528767,15.043497085571289,23.61409664154053,29.90328073501587,0.9196670850118002,0.9317398071289062,1.2451171875,1.5105605125427235,64.43402528762817,62.108516693115234,80.29744625091554,106.76147222518917,30.575551201797367,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,78.13295125961304,73.74703884124756,105.2356481552124,130.62941551208493,38.69793176651001,35.03108024597168,58.78148078918457,90.43615102767943,19.71566955248515,17.0590877532959,28.427743911743164,38.76091957092285,0.8631428082784017,0.8672475814819336,1.1655092239379883,1.4101481437683103,78.99609406789143,74.65112209320068,105.85272312164307,131.83607339859006,32.66716166579398,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,68.6359715461731,63.63844871520996,87.64793872833253,127.9274797439575,33.04073413213094,29.26456928253174,48.13389778137207,75.12373208999634,17.796223560969036,15.473604202270508,24.621677398681644,36.10670804977417,0.7347742716471354,0.7048845291137695,0.9404659271240237,1.132879257202148,69.37074581782024,64.44120407104492,88.78057003021242,128.53712081909177,29.12831625507379,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,66.2546181678772,64.55957889556885,77.89690494537355,91.35498046874997,33.0870246887207,31.703472137451172,43.88232231140137,51.85441493988036,16.581966479619343,15.276789665222168,21.98951244354248,29.502675533294664,0.8546948432922363,0.8467435836791992,1.1822700500488283,1.4473986625671384,67.10931301116943,65.62817096710205,79.11734580993654,92.15781450271604,31.07629939577169,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,75.2839469909668,70.79362869262695,91.32149219512941,157.786109447479,39.67345396677653,36.80217266082764,52.44047641754151,113.09113740921018,17.803446451822918,16.09325408935547,24.16408061981201,34.7291874885559,0.8515055974324545,0.8109807968139648,1.1767864227294926,1.5232896804809564,76.13545258839925,71.67983055114746,92.20261573791504,158.6305451393125,30.79076760273094,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,71.44636710484822,68.03536415100098,88.10033798217773,117.42210626602173,37.115325133005776,34.21437740325928,50.15273094177248,74.67163801193234,17.16410756111145,15.580296516418457,22.764706611633304,35.21711349487304,0.7260338465372721,0.6865262985229492,0.9241580963134767,1.1639642715454102,72.1724009513855,68.82607936859131,88.68703842163087,118.42767715454102,34.91792613276107,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,65.75684467951457,63.49635124206543,80.82382678985596,94.80016231536864,33.036295572916664,31.36622905731201,45.778560638427734,56.50888681411742,16.358828941981,15.420317649841309,19.409346580505375,26.555514335632292,0.7637588183085123,0.705718994140625,1.0138273239135742,1.5305209159851074,66.52060349782307,64.16213512420654,81.4452648162842,95.88761091232298,30.530392073622906,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,80.67107041676839,74.29933547973633,98.36254119873047,195.3746891021727,43.41357787450155,38.78653049468994,58.07332992553712,153.5763359069824,18.627203305562336,16.585946083068848,24.585533142089844,37.32202529907223,0.7390371958414713,0.680088996887207,0.9871721267700195,1.4049768447875972,81.41010761260986,75.18315315246582,99.25873279571533,197.30099201202378,32.68983742618422,300.0,90561.0,900.0
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,67.92334953943889,66.24889373779297,80.42795658111572,103.53216409683226,33.90523115793864,32.15014934539795,44.683241844177275,61.29313468933099,17.007176876068115,15.979528427124023,20.034575462341312,33.37388515472412,0.7533772786458334,0.6964206695556641,1.0464429855346682,1.4371895790100093,68.67672681808472,66.89226627349854,81.18155002593994,104.28117036819457,30.88937898159773,300.0,90561.0,900.0
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,1396.1334784825642,1224.3245840072632,2643.842577934265,3439.544303417206,1076.4353823661804,889.3941640853882,2309.591507911682,3184.4002175331107,159.84736959139505,166.8335199356079,169.5812225341797,172.70042896270752,0.8061830202738444,0.828862190246582,1.0838270187377932,1.2799501419067378,1396.9396615028381,1225.0577211380005,2644.5886373519897,3439.9892020225525,27.440645160237136,300.0,94752.0,900.0
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,10.0,3.0,0.7,0.9,450.4352347056071,416.3074493408203,711.8275642395022,1147.5242567062376,266.7102487881978,227.32007503509521,460.6184482574466,888.916754722595,91.86068534851074,109.68899726867676,130.29656410217285,131.3215184211731,0.7423305511474609,0.725865364074707,1.0017633438110354,1.2385988235473633,451.1775652567546,417.086124420166,712.7949476242068,1148.1239795684812,26.94259612597877,300.0,94752.0,900.0
