Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,0.019305959999999997,0.016516,0.024736000000000008,0.04239713,0.018551663333333333,0.016516,0.023568,0.029936909999999897,0.00921114,0.007851,0.0132905,0.018410839999999967,0.0033646999999999995,0.002888,0.00465,0.006745589999999984
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,0.019057796666666668,0.016254,0.024610900000000005,0.03590009999999995,0.01829258,0.016254,0.023575,0.029333709999999947,0.009303326666666667,0.00797,0.013299200000000002,0.019610069999999983,0.0032512633333333335,0.002761,0.00462,0.006538569999999983
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,0.016761216666666665,0.016516,0.016516,0.021822,0.016681246666666663,0.016516,0.016516,0.021822,0.007972686666666666,0.007851,0.007851,0.012136799999999998,0.0029291833333333333,0.002888,0.002888,0.004657
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,0.01649844333333333,0.016254,0.016254,0.021829,0.01642482333333333,0.016254,0.016254,0.021829,0.00808439,0.00797,0.00797,0.011884409999999996,0.0028043633333333334,0.002761,0.002761,0.00461901
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.007850999999999999,0.007851,0.007851,0.007851,0.0028880000000000004,0.002888,0.002888,0.002888
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.00797,0.00797,0.00797,0.00797,0.002761,0.002761,0.002761,0.002761
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.007850999999999999,0.007851,0.007851,0.007851,0.0028880000000000004,0.002888,0.002888,0.002888
