Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens,Process_Time_Seconds,Total_Time_With_Init_Seconds
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,56.91246032714844,54.37588691711426,69.77858543395998,85.46351194381712,27.266188462575276,24.59251880645752,38.401174545288086,50.59851884841917,14.821612040201822,13.438105583190918,19.297385215759277,28.857030868530273,0.8197601636250814,0.7531642913818359,1.1303901672363281,1.442353725433349,57.73222049077352,55.07218837738037,70.75941562652588,87.41094112396239,21.845682155334977,300.0,90561.0,900.0,41.21,57.979
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,174.8959525426229,160.62414646148682,274.9215364456177,372.4303388595581,99.06440178553264,82.04734325408936,181.37288093566895,267.42465019226074,37.914226055145264,18.09871196746826,94.27189826965332,97.29731321334839,0.8019264539082845,0.746607780456543,1.0947704315185547,1.3774895668029778,175.69787899653116,161.3140106201172,275.71051120758057,373.0297756195068,25.442972838214587,300.0,90561.0,900.0,35.385,55.277
Qwen/Qwen2.5-1.5B,1,4,1,1.0,4.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,304.21835740407306,232.09404945373535,600.324320793152,923.8670992851257,180.62347650527954,119.93777751922607,362.19952106475836,649.2763805389404,61.796013514200844,24.771690368652344,137.1492862701416,138.17206382751465,0.792999267578125,0.7407665252685547,1.0799884796142578,1.3131213188171373,305.0113566716512,233.07442665100098,600.9921550750734,924.5279097557068,23.219254788038963,300.0,90561.0,900.0,38.772,62.044
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,59.443321228027344,57.65366554260254,71.7078685760498,93.69038820266724,30.63737392425537,29.18422222137451,43.36693286895752,53.595974445342996,14.401428699493408,13.535022735595703,15.685343742370607,30.159759521484368,0.8282152811686198,0.7598400115966797,1.1663913726806643,1.4546847343444824,60.27153650919596,58.47668647766113,72.49679565429688,94.58504438400269,24.175589919907186,300.0,90561.0,900.0,37.239,56.208
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,84.60385163625081,78.957200050354,108.59813690185547,135.86674451828,45.66728115081787,41.11623764038086,64.19417858123781,94.05960083007804,19.46690360705058,17.24565029144287,27.593302726745605,45.55348873138426,0.8385364214579264,0.7668733596801758,1.1615514755249028,1.633777618408203,85.44238805770874,79.74600791931152,109.73424911499025,137.52739667892456,20.523736973209477,300.0,90561.0,900.0,43.863,65.353
Qwen/Qwen2.5-1.5B,2,4,1,2.0,4.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,140.43995062510172,114.00961875915527,236.9189500808717,487.84212827682484,87.72949934005737,67.2917366027832,149.80549812316897,272.09038257598786,26.353516578674316,16.763687133789062,57.06164836883546,110.3103232383728,1.0315632820129395,0.9958744049072266,1.3719320297241213,1.7034006118774407,141.47151390711466,114.80796337127686,238.07687759399423,490.3359937667846,23.434508397038858,300.0,90561.0,900.0,38.416,62.1
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,61.74355824788412,58.74478816986084,78.32729816436768,96.60020589828487,32.07367976506551,29.26766872406006,47.91471958160401,61.181623935699434,14.833371639251709,13.841748237609863,16.826081275939952,30.917170047760006,0.9017380078633627,0.8322000503540039,1.2712478637695312,1.784694194793701,62.645296255747475,59.715986251831055,79.44126129150392,97.43001699447628,21.897240929606934,300.0,90561.0,900.0,41.112,60.359
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,125.89496930440266,113.74926567077637,172.2334623336792,309.7393202781675,79.61081584294637,72.4254846572876,114.71655368804936,214.1121792793273,23.140694697697956,17.30811595916748,42.53420829772951,80.85060119628905,0.8438936869303385,0.7805824279785156,1.1660337448120117,1.4620471000671384,126.73886299133301,114.64011669158936,173.21507930755615,310.8542919158933,23.13285163984327,300.0,90561.0,900.0,38.918,61.967
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,66.18701537450154,62.642455101013184,82.92925357818604,105.17642974853506,34.39488252003988,31.538009643554688,49.22964572906494,62.69404172897321,15.894567966461182,14.516234397888184,19.89152431488037,37.190880775451646,0.872804323832194,0.8215904235839844,1.1748075485229492,1.4729213714599603,67.05981969833374,63.559651374816895,83.92651081085205,106.01762056350697,27.379895931470777,300.0,90561.0,900.0,32.883,55.85
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,512.0,512.0,8.0,8.0,3.0,0.7,0.9,446.35934591293335,419.32129859924316,670.8216667175293,796.6015124320984,249.51449632644653,226.62353515625,406.85944557189947,531.1344957351683,98.42090527216594,116.28127098083496,134.64429378509521,136.1633849143982,0.7949233055114746,0.7301568984985352,1.0959625244140625,1.3970637321472166,447.1542692184448,420.50302028656006,671.4128732681274,797.2717499732971,23.13789088723596,300.0,94752.0,900.0,38.911,61.883
