Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-20_18-22-04-272410,Qwen/Qwen2.5-1.5B,1,1,1,0.02521025,0.021935,0.0321979,0.05144334999999993,0.024155083333333334,0.021935,0.029107,0.04061943999999995,0.012601613333333334,0.010963,0.01732010000000001,0.026498959999999978,0.004202660000000001,0.003657,0.006048,0.009338889999999978
2025-08-20_18-22-30-007026,Qwen/Qwen2.5-1.5B,1,2,1,0.030091786666666658,0.026742,0.0368574,0.05032068999999993,0.028907139999999998,0.026742,0.0335171,0.043024109999999956,0.013023083333333334,0.011127,0.018701500000000003,0.02775601999999998,0.005689516666666667,0.005205,0.006894,0.010048789999999985
2025-08-20_18-23-01-549626,Qwen/Qwen2.5-1.5B,2,1,1,0.022143180000000005,0.021935,0.021935,0.029102,0.022053140000000006,0.021935,0.021935,0.029102,0.011075573333333335,0.010963,0.010963,0.015745349999999998,0.0036888766666666674,0.003657,0.003657,0.006047
2025-08-20_18-23-29-888405,Qwen/Qwen2.5-1.5B,2,2,1,0.027094779999999995,0.026742,0.026742,0.03384603,0.026900183333333327,0.026742,0.026742,0.031788,0.011361866666666665,0.011127,0.011127,0.01738748999999999,0.005244293333333334,0.005205,0.005205,0.006887
2025-08-20_18-24-01-849849,Qwen/Qwen2.5-1.5B,4,1,1,0.021935000000000003,0.021935,0.021935,0.021935,0.021935000000000003,0.021935,0.021935,0.021935,0.010963,0.010963,0.010963,0.010963,0.003657,0.003657,0.003657,0.003657
2025-08-20_18-24-31-719960,Qwen/Qwen2.5-1.5B,4,2,1,0.026741999999999995,0.026742,0.026742,0.026742,0.026741999999999995,0.026742,0.026742,0.026742,0.011127,0.011127,0.011127,0.011127,0.005205,0.005205,0.005205,0.005205
2025-08-20_18-25-04-233835,Qwen/Qwen2.5-1.5B,8,1,1,0.021935000000000003,0.021935,0.021935,0.021935,0.021935000000000003,0.021935,0.021935,0.021935,0.010963,0.010963,0.010963,0.010963,0.003657,0.003657,0.003657,0.003657
