Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-24_22-34-45-806148,Qwen/Qwen2.5-1.5B,1,1,1,0.6348549733333333,0.6855089999999999,0.8532076,0.9335354699999998,0.5426941566666668,0.595513,0.705781,0.764224,0.28452934333333335,0.289256,0.4168015,0.50444961,0.11677511333333333,0.125744,0.16906,0.172442
2025-08-24_22-35-10-512995,Qwen/Qwen2.5-1.5B,1,2,1,7.015390786666667,7.581576,9.275510200000001,9.8301175,3.328609053333333,3.742648,3.742654,4.990201,4.897481989999999,5.0864755,8.094579600000001,8.9149909,0.7059694766666664,0.8317,0.831701,0.831701
2025-08-24_22-35-40-354936,Qwen/Qwen2.5-1.5B,2,1,1,0.07917075333333333,0.072169,0.1218208,0.16208035999999995,0.07102733,0.063922,0.11313379999999999,0.15906,0.04003374,0.034608,0.06225750000000003,0.09776666999999999,0.013045673333333332,0.012181,0.023436,0.02973372999999995
2025-08-24_22-36-08-168455,Qwen/Qwen2.5-1.5B,2,2,1,2.9731475333333335,3.167512,4.219851,4.64474704,2.43997311,2.888875,3.688204,3.742647,1.47101466,1.6282070000000002,2.2605429,2.547280089999999,0.5007109733333333,0.550383,0.831699,0.8317
2025-08-24_22-36-38-498054,Qwen/Qwen2.5-1.5B,4,1,1,0.04798357666666665,0.043911,0.062156,0.07767721999999998,0.046872113333333326,0.043911,0.0621299,0.063978,0.02705466,0.025585,0.030738100000000008,0.045137029999999995,0.0069765400000000016,0.006109,0.012181,0.01219
2025-08-24_22-37-06-393915,Qwen/Qwen2.5-1.5B,4,2,1,0.13316702666666666,0.121556,0.21948,0.3080493299999999,0.12073708666666666,0.121556,0.17608250000000103,0.265301,0.07316828,0.061651,0.10944110000000001,0.15369702,0.019999583333333334,0.022071,0.038129,0.05375
2025-08-24_22-37-36-068681,Qwen/Qwen2.5-1.5B,8,1,1,0.044011036666666656,0.043911,0.043911,0.043958659999999955,0.043977703333333326,0.043911,0.043911,0.043911,0.02562441,0.025585,0.025585,0.025585,0.006129206666666667,0.006109,0.006109,0.006109
