Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-20_05-59-23-434162,meta-llama/Meta-Llama-3-8B,1,1,1,0.10629055999999999,0.1016365,0.1325683,0.22684938,0.09666016,0.092817,0.11357650000000025,0.18650756999999973,0.050129089999999994,0.0439225,0.0733099,0.14302793999999983,0.018720579999999997,0.015359,0.025515,0.03905779999999986
2025-08-20_05-59-49-447541,meta-llama/Meta-Llama-3-8B,1,2,1,0.22788276000000002,0.1869295,0.4249161000000001,0.7249003700000001,0.19888659,0.144076,0.342455,0.6385,0.12303625666666666,0.100183,0.21945980000000004,0.4017087199999999,0.034948676666666664,0.026062,0.0735422,0.12313758999999984
2025-08-20_06-00-21-641320,meta-llama/Meta-Llama-3-8B,1,4,1,0.2346719366666667,0.1860425,0.4662460000000001,0.75105937,0.20558463666666668,0.138899,0.40034970000000003,0.659073,0.12873497666666667,0.10205900000000001,0.22915750000000012,0.4186197299999999,0.03531217,0.024313,0.0948323,0.12828428999999983
2025-08-20_06-01-00-748205,meta-llama/Meta-Llama-3-8B,1,8,1,0.8140685333333333,0.6415305,1.8203649000000002,2.1680732299999996,0.69188191,0.5711364999999999,1.533375,1.838443,0.39257148666666664,0.31081000000000003,0.8406501000000001,1.2297898999999999,0.14049896,0.1108345,0.32193,0.455422
2025-08-20_06-01-29-577873,meta-llama/Meta-Llama-3-8B,2,1,1,0.08485804999999999,0.079936,0.0967873,0.11925521999999995,0.08236961333333333,0.079936,0.092793,0.112459,0.036864086666666664,0.033859,0.048510000000000005,0.05812278999999993,0.015998043333333333,0.015359,0.019645,0.019695849999999963
2025-08-20_06-01-57-662357,meta-llama/Meta-Llama-3-8B,2,2,1,0.11149968333333334,0.093156,0.1416592,0.24122340999999997,0.10668115666666668,0.093156,0.137274,0.23024071,0.06599679333333332,0.059092,0.0808788,0.16563523,0.01516713666666667,0.011354,0.02606,0.05704306000000001
2025-08-20_06-02-36-614057,meta-llama/Meta-Llama-3-8B,2,4,1,0.10023945999999997,0.082536,0.132107,0.24427221999999996,0.09607927666666666,0.082536,0.132107,0.23593371999999999,0.06552902333333334,0.059167,0.0810564,0.17136750999999995,0.01156968,0.007789,0.024313,0.058915010000000004
2025-08-20_06-03-19-715729,meta-llama/Meta-Llama-3-8B,4,1,1,0.08034244666666666,0.079936,0.079936,0.09531915999999996,0.08008524999999998,0.079936,0.079936,0.0821039699999999,0.0341368,0.033859,0.033859,0.04924215999999996,0.015401886666666665,0.015359,0.015359,0.01540185999999996
2025-08-20_06-03-48-974401,meta-llama/Meta-Llama-3-8B,4,2,1,0.09432657333333334,0.093156,0.093156,0.137274,0.09392554666666666,0.093156,0.093156,0.137274,0.059527233333333325,0.059092,0.059092,0.07275560999999993,0.011599123333333334,0.011354,0.011354,0.02606
2025-08-20_06-04-19-339910,meta-llama/Meta-Llama-3-8B,8,1,1,0.079936,0.079936,0.079936,0.079936,0.079936,0.079936,0.079936,0.079936,0.03385899999999999,0.033859,0.033859,0.033859,0.015358999999999998,0.015359,0.015359,0.015359
