Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,0.26941155,0.250927,0.5068538,0.6201499399999999,0.23129174333333333,0.212181,0.476612,0.516084,0.1245584266666667,0.108384,0.24533030000000003,0.3221735,0.04828439,0.044251,0.105916,0.119089
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,6.319647239999999,6.8678265,8.291746800000002,8.7312778,3.2896952533333335,3.742647,3.742653,4.990201,4.212007743333333,4.3727255,7.0394044,7.614119619999999,0.7025463833333333,0.8317,0.8317,0.831701
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,0.06698683,0.062127,0.09961350000000001,0.13738931999999998,0.06086877999999998,0.062127,0.082166,0.130856,0.034638883333333335,0.0303025,0.050438200000000016,0.07434954999999999,0.010782696666666668,0.011832,0.018262,0.023489549999999953
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,1.8674259566666669,2.069744,2.7571245,3.0479479499999997,1.58791648,1.795227,2.325317700000001,2.435227,0.8628229166666666,0.917786,1.4098968,1.6396423099999997,0.33486764,0.410492,0.5357539000000001,0.560939
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,0.046065289999999995,0.043911,0.05084200000000001,0.07043155999999998,0.045368596666666657,0.043911,0.045734,0.063922,0.02640300333333333,0.025585,0.027995700000000005,0.03874565999999996,0.00655437,0.006109,0.006109,0.01219
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,0.10225562333333334,0.080179,0.169724,0.216587,0.09633083666666667,0.075239,0.169724,0.171582,0.06253724999999999,0.055338,0.08038669999999999,0.11550084999999986,0.01323945,0.006018,0.022074,0.038129
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,0.04399949333333332,0.043911,0.043911,0.043911,0.04397789333333332,0.043911,0.043911,0.043911,0.025612676666666664,0.025585,0.025585,0.025585,0.006129270000000001,0.006109,0.006109,0.006109
