Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,0.03668563333333333,0.034518,0.044309799999999996,0.05733143999999999,0.03583092666666666,0.034518,0.03734910000000018,0.050203589999999965,0.01783607,0.016697,0.021442200000000015,0.03190150999999999,0.006282923333333333,0.00594,0.0059506,0.00925452999999997
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,0.029258833333333338,0.027822,0.03578160000000001,0.046041759999999994,0.02873760000000001,0.027822,0.02987,0.03897203,0.01465545333333333,0.013977,0.01533690000000001,0.025514339999999993,0.00486779,0.004615,0.004615,0.00765
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,0.030852926666666676,0.029675,0.03502,0.04197958999999999,0.030260010000000004,0.029675,0.031731,0.037068079999999996,0.012841526666666669,0.012091,0.014968900000000002,0.021745639999999997,0.006003499999999999,0.005861,0.005861,0.007646
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,0.028109073333333335,0.027151,0.0317538,0.03707615999999999,0.027653793333333336,0.027151,0.029209,0.031834189999999984,0.011393963333333337,0.010788,0.011205100000000016,0.020330889999999997,0.005571406666666666,0.005454,0.005454,0.007009
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.03459839333333333,0.034518,0.034518,0.035684579999999966,0.03455730333333333,0.034518,0.034518,0.034518,0.016744763333333332,0.016697,0.016697,0.01670825999999999,0.005950876666666667,0.00594,0.00594,0.00594
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,0.02786354666666668,0.027822,0.027822,0.027822,0.027859186666666674,0.027822,0.027822,0.027822,0.01398819666666667,0.013977,0.013977,0.013977,0.004625116666666667,0.004615,0.004615,0.004615
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,0.02970514333333334,0.029675,0.029675,0.029678399999999997,0.029699703333333338,0.029675,0.029675,0.029675,0.012103296666666668,0.012091,0.012091,0.012091,0.005866949999999999,0.005861,0.005861,0.005861
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.016696999999999997,0.016697,0.016697,0.016697,0.00594,0.00594,0.00594,0.00594
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.027822000000000006,0.027822,0.027822,0.027822,0.027822000000000006,0.027822,0.027822,0.027822,0.013976999999999998,0.013977,0.013977,0.013977,0.004615,0.004615,0.004615,0.004615
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.016696999999999997,0.016697,0.016697,0.016697,0.00594,0.00594,0.00594,0.00594
