Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-24_22-38-05-661465,Qwen/Qwen2.5-1.5B,1,1,1,0.7701322466666667,0.8372029999999999,0.9642046,1.02062542,0.6581701533333332,0.764237,0.77731,0.777318,0.34161990333333336,0.34396150000000003,0.46628010000000003,0.5098041099999999,0.1428373866666667,0.169068,0.172389,0.173439
2025-08-24_22-38-30-342929,Qwen/Qwen2.5-1.5B,1,2,1,7.504458209999999,7.8665035,10.0791073,10.31240171,3.355391160000001,3.742651,3.742671,4.99020302,5.364558316666666,5.371403,9.2909772,9.6058792,0.7132999833333332,0.8317,0.831701,0.831707
2025-08-24_22-38-59-963280,Qwen/Qwen2.5-1.5B,2,1,1,0.09944120333333333,0.0884235,0.15385170000000006,0.25954306,0.08684854999999998,0.080009,0.13323650000000029,0.24084,0.04812119666666668,0.044205499999999995,0.07910770000000003,0.11695157999999997,0.01710666,0.0173505,0.028595,0.050341
2025-08-24_22-39-27-726316,Qwen/Qwen2.5-1.5B,2,2,1,3.494324526666667,3.7139670000000002,4.586898900000001,4.9806026,2.6721834799999997,2.794584,3.7426461,3.7434089999999993,1.8730201433333336,2.0267815000000002,2.9327161,3.1950556,0.5404347166666666,0.741053,0.8317,0.8317
2025-08-24_22-39-58-105357,Qwen/Qwen2.5-1.5B,4,1,1,0.05091996333333332,0.043911,0.0635119,0.08628919999999995,0.04903458999999999,0.043911,0.062156,0.080372,0.027986153333333336,0.025585,0.03404950000000001,0.046889559999999976,0.007644773333333334,0.006109,0.01219,0.018262
2025-08-24_22-40-26-010745,Qwen/Qwen2.5-1.5B,4,2,1,0.21586665000000002,0.2057265,0.36178730000000003,0.42833249999999995,0.18896937000000003,0.171569,0.316308,0.412757,0.10134417666666666,0.0871915,0.16916240000000002,0.24662442999999995,0.03817407666666666,0.038126,0.06948270000000002,0.086136
2025-08-24_22-40-55-806419,Qwen/Qwen2.5-1.5B,8,1,1,0.04408043666666665,0.043911,0.043911,0.04977299999999998,0.04404459666666665,0.043911,0.043911,0.045706279999999995,0.025632993333333333,0.025585,0.025585,0.025585,0.006149476666666667,0.006109,0.006109,0.006109
