Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-24_22-41-25-987866,Qwen/Qwen2.5-1.5B,1,1,1,0.8069082366666667,0.8596395,1.0088445000000001,1.0336020899999998,0.6869822366666667,0.774369,0.781676,0.781729,0.3622249766666667,0.3674925,0.4971838,0.5175508299999999,0.14822778,0.172373,0.173886,0.173896
2025-08-24_22-41-51-035384,Qwen/Qwen2.5-1.5B,1,2,1,7.837553633333332,8.098751499999999,10.6190241,10.84012857,3.3785925266666665,3.742651,3.742671,4.99020302,5.68092298,5.603651,9.8201581,10.26896674,0.7188768866666666,0.8317,0.831701,0.831707
2025-08-24_22-42-20-553328,Qwen/Qwen2.5-1.5B,2,1,1,0.12915209999999996,0.11545849999999999,0.2128653,0.28873125999999993,0.11158704333333333,0.097711,0.18815,0.270307,0.06019267666666667,0.050197,0.10799610000000003,0.15822330999999995,0.02298645,0.018287,0.0407862,0.060152
2025-08-24_22-42-49-048654,Qwen/Qwen2.5-1.5B,2,2,1,3.9037466800000002,4.154516,4.8709481,5.067268759999999,2.7775159866666663,3.162365,3.742659,4.274884909999998,2.1989265700000002,2.4186515,3.4320550000000005,3.63211199,0.5682733866666666,0.638272,0.8317,0.831703
2025-08-24_22-43-19-594512,Qwen/Qwen2.5-1.5B,4,1,1,0.053837683333333324,0.048817,0.06995090000000001,0.09359620999999999,0.05120119666666666,0.045677,0.06395,0.08038993999999998,0.028900743333333333,0.025585,0.0352024,0.05183975,0.008312436666666666,0.006109,0.01219,0.018262
2025-08-24_22-43-47-801882,Qwen/Qwen2.5-1.5B,4,2,1,0.47042186999999996,0.48730949999999995,0.6980746999999999,0.7788624899999999,0.4036046566666667,0.416069,0.617986,0.618002,0.21154295000000004,0.21100249999999998,0.34117640000000005,0.40084606,0.08629289999999999,0.0866875,0.137331,0.137334
2025-08-24_22-44-18-863968,Qwen/Qwen2.5-1.5B,8,1,1,0.04415822999999999,0.043911,0.043911,0.05414700999999999,0.04404459666666665,0.043911,0.043911,0.045706279999999995,0.025710786666666666,0.025585,0.025585,0.030858779999999992,0.006149476666666667,0.006109,0.006109,0.006109
