Model,Compute_Profile,Network_Device,VLLM_Device,QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Random_Config_P50,Random_Config_P90,Random_Config_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
Qwen/Qwen2.5-1.5B,h100_p5,h100_p5,h100_p5,4,R1-TP1-PP1,R1-TP1-PP1,R1-TP1-PP1,0.04451954364776611,0.051516485214233396,0.06951977729797357,R1-TP2-PP1,R1-TP2-PP1,R2-TP2-PP1,0.016254,0.016254,0.016254,2.738990011551994,3.1694650679361014,4.277087319919624,1.1777875364499795,1.1841390845249677,1.159045215583626,1.0,1.0,1.0,1.2717073183793584,1.3654536972673479,2.5714593047126804,-66.7978984342387,-72.6300547716431,-78.83670557145146
Qwen/Qwen2.5-1.5B,h100_p5,h100_p5,h100_p5,8,R1-TP1-PP1,R1-TP1-PP1,R1-TP1-PP1,0.04449355602264404,0.05540440082550049,0.06685509681701657,R1-TP2-PP1,R2-TP2-PP1,R2-TP2-PP1,0.016254,0.016254,0.016254,2.737391166644767,3.408662533868616,4.113147337087275,1.1808599851569637,1.25575504910215,1.302485319741831,1.0,1.0,1.0,1.1234570878177255,1.1796246625719877,1.3075254287819333,-68.19709943314702,-74.1871447440539,-81.96391376369868
Qwen/Qwen2.5-1.5B,h100_p5,h100_p5,h100_p5,10,R1-TP1-PP1,R1-TP1-PP1,R1-TP1-PP1,0.04379010200500488,0.057366538047790544,0.0740710949897766,R1-TP2-PP1,R2-TP2-PP1,R4-TP2-PP1,0.016254,0.016254,0.016254,2.6941123418853747,3.5293797248548384,4.557099482575157,1.2534559452057779,1.2632737174721032,1.4090966399828655,1.0,1.0,1.0,1.3927391122072859,1.3252438462308929,1.4090966399828655,-68.68023902971693,-72.97034184572348,-83.5487190499856
Qwen/Qwen2.5-1.5B,h100_p5,h100_p5,h100_p5,29,R1-TP1-PP1,R1-TP1-PP1,R1-TP1-PP1,0.05099999904632568,0.06436815261840821,0.08160875320434569,R2-TP2-PP1,R4-TP2-PP1,R4-TP2-PP1,0.016254,0.016254,0.016254,3.137689125527604,3.9601422799562083,5.020841220889976,1.3480771073748479,1.331690616624367,2.3126649031037587,1.0,1.0,1.0,1.2122018891166593,1.2413604583457416,3.898834976881721,-72.3267743816853,-74.98554661242541,-81.23153292731244
