Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,0.38010375,0.34911899999999996,0.5319320000000001,0.93513766,0.3379371566666667,0.30441799999999997,0.494569,0.861784,0.18907857666666664,0.1657555,0.28099830000000015,0.4763609499999996,0.06367498333333332,0.060753,0.102929,0.153026
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,0.2627684,0.226047,0.40944010000000003,0.75428058,0.2361768333333333,0.226002,0.375789,0.6085101799999992,0.14253302333333331,0.1064245,0.2378414,0.5165078499999997,0.04007855999999999,0.022475,0.0716981,0.12142683999999956
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,0.17391511666666667,0.14940799999999999,0.26472280000000004,0.52188017,0.15925343666666666,0.11803,0.243918,0.50284,0.10036171333333334,0.074017,0.1713572,0.3008517999999997,0.024517633333333337,0.014015,0.050656,0.099255
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,0.21754712666666667,0.1859055,0.36335590000000006,0.8565666299999999,0.19676735,0.120075,0.35925710000000005,0.721521,0.13144104666666667,0.089261,0.2227487,0.5385258499999996,0.028702023333333333,0.009598,0.064309,0.11991711999999918
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.26690376,0.239508,0.3083524,0.4651689099999998,0.2553803433333333,0.239508,0.303259,0.3832218599999995,0.13471276333333335,0.120959,0.170526,0.26555925999999985,0.044063446666666665,0.039516,0.060767,0.08199807
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,0.17658292666666667,0.162517,0.226047,0.3212703099999997,0.17162166333333334,0.162517,0.226002,0.31224951,0.10148337999999998,0.095182,0.11920630000000006,0.21829890999999982,0.02503322666666666,0.022445,0.043607,0.043851439999999804
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,0.12381802000000003,0.116063,0.14818070000000028,0.225984,0.12172955333333334,0.116063,0.118034,0.225984,0.07627613333333333,0.074017,0.07437820000000009,0.12073959999999993,0.01584701,0.014015,0.014015,0.05065402
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.2414802166666667,0.239508,0.239508,0.303259,0.2406044166666667,0.239508,0.239508,0.30321940000000003,0.12186856999999998,0.120959,0.120959,0.15909146,0.03987022999999999,0.039516,0.039516,0.060753140000000004
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.16339990333333332,0.162517,0.162517,0.19539020999999973,0.16317215,0.162517,0.162517,0.16514669999999945,0.09542945333333333,0.095182,0.095182,0.1004747599999999,0.022656819999999998,0.022445,0.022445,0.02267146999999981
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.23950800000000005,0.239508,0.239508,0.239508,0.23950800000000005,0.239508,0.239508,0.239508,0.120959,0.120959,0.120959,0.120959,0.039516,0.039516,0.039516,0.039516
