Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,QPS_Dir,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens,Process_Time_Seconds,Total_Time_With_Init_Seconds
Qwen/Qwen2.5-1.5B,1,1,1,61.30909090909091,1.0,1.0,1.0,512.0,512.0,8.0,61.30909090909091,3.0,0.7,0.9,148.07170821681166,151.35053071108732,222.430007240989,251.9160811684348,114.11327659722531,117.16596863486551,186.2456633827903,214.42129165476015,16.977616158398714,17.0871994712136,19.772087877446953,23.561148296702992,0.8340390234282522,0.7954922589388761,1.1327713186090644,1.4576480605385518,148.90574724023992,152.16703631661156,223.2247005809437,252.85004542090672,134.37784392583788,300.0,90561.0,900.0,29.448581818181818,45.91454545454545
Qwen/Qwen2.5-1.5B,1,2,1,56.0,1.0,2.0,1.0,512.0,512.0,8.0,56.05255681818182,3.0,0.7,0.9,297.0476966012608,295.36818103356796,442.4473486163399,547.9778108813545,252.80440615885183,252.15598128058693,390.39050774140793,481.42978933724476,22.122094099454834,18.366477706215598,33.610282161019065,40.6146537173878,0.8451063524593007,0.8032511581074108,1.1455140330574731,1.4871581034226844,297.8928029537201,296.22798345305705,443.2687986980785,548.8472329486499,90.35587971642741,300.0,90561.0,900.0,34.43090909090909,55.468636363636364
Qwen/Qwen2.5-1.5B,2,1,1,119.12,2.0,1.0,1.0,512.0,512.0,8.0,119.12,3.0,0.7,0.9,211.0214125951131,208.59270095825195,283.4976902008057,339.10129623413087,172.7484873453776,172.36326932907104,244.70183801651004,298.38061738014216,19.141601911636247,17.793071269989014,20.949453830718994,68.16633405685424,0.8066920598347981,0.7589912414550781,1.106172561645508,1.4818259239196772,211.82810465494788,209.42118883132935,284.31522083282476,340.0023994922638,163.94078338015726,300.0,90561.0,900.0,17.2726,34.55504
Qwen/Qwen2.5-1.5B,2,2,1,109.025,2.0,2.0,1.0,512.0,512.0,8.0,109.05625,3.0,0.7,0.9,254.0104323029518,250.09595155715942,368.6625736951828,470.4600329399108,199.16771654287976,196.28124833106995,308.23063254356384,387.6506724357604,27.419944524765015,26.272112131118774,34.77437376976013,57.90739589929575,0.7952383955319722,0.7474690675735474,1.059793829917908,1.4292446374893182,254.8056706984838,250.85039734840393,369.4976818561554,471.3605887293814,126.27936477531549,300.0,90561.0,900.0,17.862000000000002,38.988125000000004
Qwen/Qwen2.5-1.5B,4,1,1,265.2,4.0,1.0,1.0,512.0,512.0,8.0,265.2,3.0,0.7,0.9,136.33269333839417,131.6130566596985,180.65990495681763,226.36437797546384,101.51764567693075,97.1387505531311,145.92345333099368,186.51763191223142,18.4492851714343,17.85404920578003,21.971413135528564,33.929569101333605,0.7849907239278157,0.7397174835205078,1.059210777282715,1.432798671722412,137.11768406232198,132.4161171913147,181.45376873016357,227.25391111373898,229.45036180801125,300.0,90561.0,900.0,16.14092,34.425399999999996
Qwen/Qwen2.5-1.5B,4,2,1,215.69230769230768,4.0,2.0,1.0,512.0,512.0,8.0,215.69230769230768,3.0,0.7,0.9,278.4563376964667,273.1786691225492,392.8806176552406,522.1776279425009,214.8543177303086,210.97340644934238,325.28085830884106,435.98375589419624,32.82501370956195,30.93892794388991,39.119615921607384,78.440278615707,0.7958392607860076,0.7491142321855594,1.0643665607158956,1.4490894170907822,279.2521769572527,273.9813664020636,393.69908724075714,523.0374652300125,223.09197850359078,300.0,90561.0,900.0,16.675538461538462,40.98548717948718
Qwen/Qwen2.5-1.5B,8,1,1,323.51020408163265,8.0,1.0,1.0,512.0,512.0,8.0,323.51020408163265,3.0,0.7,0.9,126.18679534821283,115.180390221732,195.48819308378262,266.035782950265,91.430348879626,81.51839947213932,158.4325522792583,224.51920275785483,18.625158410664337,17.45303552977893,24.74311857807393,37.96266828264508,0.7745128423989225,0.7263884252431442,1.0392067383746713,1.4167849871577043,126.96130819061176,115.92826308036337,196.27107649433373,266.90326228433725,343.4818202613475,300.0,90561.0,900.0,15.665040816326531,36.71273469387755
meta-llama/Meta-Llama-3-8B,1,1,1,20.134615384615383,1.0,1.0,1.0,512.0,512.0,8.0,20.317157451923077,3.0,0.7,0.9000000000000001,169.28712531542166,157.87068467873794,230.55896483934845,298.8502218631597,93.13052551868635,83.63373692219074,140.59736270170947,203.81044456591965,38.07655272575525,34.10029411315918,58.97578459519606,76.12967862532689,0.8056007898770846,0.7862723790682279,1.0949973876659689,1.3795522543100207,170.09272610529874,158.70147255750803,231.3618912146642,299.6652902089632,53.85796398602348,300.0,94752.0,900.0,88.15732692307691,108.11078846153848
meta-llama/Meta-Llama-3-8B,1,2,1,21.313725490196077,1.0,2.0,1.0,512.0,512.0,8.0,21.50229779411765,3.0,0.7,0.9,214.53844883862664,201.84621390174416,317.8281550313913,419.3365174648807,148.76231209125393,139.19240586897905,227.29342217538874,308.4268835011649,32.886342838698745,27.724401623594996,51.8332182192335,99.73103354958927,0.8068159358953338,0.7853881985533471,1.0731963550343235,1.3467456312740547,215.34526477452195,202.64801558326272,318.6312563279096,420.16333135904034,52.37601854318654,300.0,94752.0,900.0,187.35609803921568,212.02490196078432
meta-llama/Meta-Llama-3-8B,1,4,1,27.3,1.0,4.0,1.0,512.0,512.0,8.0,27.46484375,3.0,0.7,0.9,317.6066298484802,309.9609112739563,474.70792627334595,589.4448083400724,245.80447840690613,241.71902418136597,380.2914094924927,468.439680624008,35.90128841206999,27.27189064025879,59.943745613098145,101.11008205413816,0.7952976703643799,0.7666969299316406,1.0462574958801272,1.3067389488220211,318.4019275188446,310.77382802963257,475.51158761978155,590.2499195575713,60.58602962968084,300.0,94752.0,900.0,428.69322,450.77608
