Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-20_06-24-04-495913,Qwen/Qwen2.5-1.5B,1,1,1,0.052494303333333325,0.045368,0.0654246,0.08038404999999998,0.04947409333333334,0.045368,0.058137,0.06921435999999996,0.022720050000000002,0.018681,0.0339749,0.042068989999999994,0.009924969999999998,0.008896,0.012181,0.01584238
2025-08-20_06-24-30-037431,Qwen/Qwen2.5-1.5B,1,2,1,0.07771682333333332,0.07468,0.10119890000000002,0.15795338999999997,0.07245896666666667,0.065474,0.093424,0.149447,0.03759581666666667,0.029126,0.05756300000000002,0.08845406999999993,0.013373623333333336,0.011109,0.018299,0.026872
2025-08-20_06-25-00-327072,Qwen/Qwen2.5-1.5B,2,1,1,0.046545003333333335,0.045368,0.0518933,0.05881425,0.045959613333333336,0.045368,0.045368,0.055254119999999976,0.01940254333333333,0.018681,0.018681,0.03110847,0.009047806666666667,0.008896,0.008896,0.012181
2025-08-20_06-25-28-540166,Qwen/Qwen2.5-1.5B,2,2,1,0.06378887666666666,0.060986,0.07620360000000001,0.09281415999999999,0.06282375666666667,0.060986,0.065477,0.084541,0.030441849999999993,0.029126,0.03253170000000002,0.046609069999999996,0.011115660000000001,0.01062,0.011109,0.016515
2025-08-20_06-25-59-500346,Qwen/Qwen2.5-1.5B,4,1,1,0.04538374333333334,0.045368,0.045368,0.045368,0.045368000000000006,0.045368,0.045368,0.045368,0.018696743333333335,0.018681,0.018681,0.018681,0.008896,0.008896,0.008896,0.008896
2025-08-20_06-26-28-512420,Qwen/Qwen2.5-1.5B,4,2,1,0.0611544,0.060986,0.060986,0.06846622999999996,0.061050153333333315,0.060986,0.060986,0.060986,0.02924032333333333,0.029126,0.029126,0.029200359999999932,0.010638023333333333,0.01062,0.01062,0.01062
2025-08-20_06-26-59-110396,Qwen/Qwen2.5-1.5B,8,1,1,0.045368000000000006,0.045368,0.045368,0.045368,0.045368000000000006,0.045368,0.045368,0.045368,0.018681,0.018681,0.018681,0.018681,0.008896,0.008896,0.008896,0.008896
