Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens
run_20250812_223722,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,8.0,3,0.7,0.9,815.6557949384054,766.4215564727783,1274.735927581787,1573.4269833564756,513.9804085095724,450.8016109466553,939.3435955047609,1301.4455533027647,150.83605686823526,163.74707221984863,169.15769577026367,172.1466851234436,0.7469685872395834,0.7208585739135742,1.0389089584350586,1.2890839576721185,816.4027635256449,767.1689987182617,1275.2466678619385,1573.9905714988706,25.90532574171554,300,94752,900
run_20250812_223825,meta-llama/Meta-Llama-3-8B,2,1,1,512,512,8,8.0,3,0.7,0.9,447.4296474456787,453.89461517333984,601.1008501052858,683.3053541183467,251.5424100557963,242.1865463256836,379.2668104171753,462.93225526809664,97.94177691141765,78.18365097045898,160.99214553833008,176.90466165542597,0.7900206247965494,0.7889270782470703,1.0884761810302734,1.3507533073425293,448.2196680704753,454.79702949523926,601.8568992614747,684.169733524322,22.293045959909005,300,94752,900
run_20250812_223933,meta-llama/Meta-Llama-3-8B,4,1,1,512,512,8,8.0,3,0.7,0.9,415.70457061131793,407.8019857406616,558.5027456283569,666.9917631149292,228.36148023605347,212.4159336090088,337.12544441223156,433.05546998977644,93.6698846022288,76.11286640167236,149.2217779159546,167.3872065544128,0.7978137334187826,0.7960796356201172,1.0979175567626953,1.3845276832580566,416.50238434473675,408.730149269104,559.1324806213379,668.1322383880615,24.34867901285445,300,94752,900
run_20250812_224040,meta-llama/Meta-Llama-3-8B,8,1,1,512,512,8,8.0,3,0.7,0.9,401.82923396428424,397.26150035858154,506.45792484283453,589.3128371238707,220.05979776382446,218.8284397125244,306.92534446716314,385.71739673614496,90.88284095128377,67.24298000335693,141.57171249389648,177.85338163375846,0.7134477297465006,0.6669759750366211,0.9823083877563477,1.308293342590332,402.54268169403076,398.08058738708496,507.0594787597657,589.9274396896361,23.755490932960313,300,94752,900
run_20250812_224151,meta-llama/Meta-Llama-3-8B,1,2,1,512,512,8,8.0,3,0.7,0.9,358.55037530263263,337.7385139465332,558.1421375274658,783.0538558959959,198.40237379074097,170.12691497802734,337.48364448547363,535.8040213584899,80.07213393847148,85.99138259887695,130.08451461791992,131.1343240737915,0.8094533284505209,0.815272331237793,1.1128425598144533,1.2884449958801265,359.3598286310832,338.60933780670166,558.7002992630005,783.5169124603269,22.58138906865093,300,94752,900
run_20250812_224301,meta-llama/Meta-Llama-3-8B,2,2,1,512,512,8,8.0,3,0.7,0.9,280.13526757558185,262.77947425842285,426.5807151794435,566.3654136657714,165.97774902979532,149.42073822021484,285.4162693023682,395.05933046340937,57.07728306452433,35.660624504089355,114.19777870178224,134.10693168640134,0.672453244527181,0.6380081176757812,0.9009361267089844,1.1411285400390625,280.80772082010907,263.4918689727783,427.3254394531251,567.1170806884764,20.959904747558152,300,94752,900
run_20250812_224415,meta-llama/Meta-Llama-3-8B,4,2,1,512,512,8,8.0,3,0.7,0.9,265.02822160720825,256.7650079727173,364.0361547470093,467.73062467575073,156.5505806605021,142.8236961364746,233.43584537506106,320.7028102874756,54.23727432886759,35.84945201873779,100.09300708770753,151.75065517425537,0.6691408157348633,0.6268024444580078,0.8786916732788088,1.1297321319580078,265.6973624229431,257.5184106826782,364.8536443710327,468.2677960395813,22.074244416937958,300,94752,900
run_20250812_224530,meta-llama/Meta-Llama-3-8B,1,4,1,512,512,8,8.0,3,0.7,0.9,238.13904921213785,219.22802925109863,408.1644535064697,516.0528993606566,131.6506544748942,105.22162914276123,232.5216054916383,322.63927936553927,53.24237028757731,31.238913536071777,109.54420566558838,110.20133018493652,0.7684294382731119,0.773310661315918,1.031303405761719,1.371185779571533,238.90747865041098,219.8866605758667,408.8435411453247,516.71569108963,23.558513284516568,300,94752,900
run_20250812_224640,meta-llama/Meta-Llama-3-8B,2,4,1,512,512,8,8.0,3,0.7,0.9,203.46160491307577,186.06305122375488,323.718810081482,541.7452383041382,129.46614742279053,112.34486103057861,205.9248924255371,391.8334722518918,36.99627757072449,19.93536949157715,85.39056777954104,112.31479644775378,0.6560556093851725,0.6234645843505859,0.8666515350341799,1.0780692100524896,204.11766052246094,186.76960468292236,324.4193315505982,542.4416089057922,22.065631152495552,300,94752,900
run_20250812_224752,meta-llama/Meta-Llama-3-8B,1,8,1,512,512,8,8.0,3,0.7,0.9,910.4958502451578,800.4884719848633,1773.4709978103642,2031.8297910690308,653.9108030001322,500.005841255188,1442.457556724549,1703.2881569862366,128.29121351242065,164.3136739730835,165.45848846435547,166.72257900238037,0.6251748402913412,0.5893707275390625,0.8186817169189453,0.9985566139221191,911.1210250854492,801.1364936828613,1774.2587089538579,2032.337532043457,24.479827617322915,300,94752,900
run_20250820_070201,Qwen/Qwen2.5-1.5B,1,1,1,512,512,8,8.0,3,0.7,0.9,63.134494622548424,58.59220027923584,82.50262737274171,107.5738787651062,29.35834725697835,24.640798568725586,43.05286407470704,69.83625888824461,16.886121034622192,14.962077140808105,23.34260940551758,32.02027082443237,0.9153310457865397,0.908970832824707,1.231980323791504,1.5740919113159177,64.04982566833496,59.48770046234131,83.04772377014162,108.29195261001587,24.440149378078168,300,90561,900
run_20250820_070301,Qwen/Qwen2.5-1.5B,2,1,1,512,512,8,8.0,3,0.7,0.9,63.34590514500936,61.720967292785645,74.19276237487794,89.7969245910644,31.507112979888916,30.005574226379395,42.5166130065918,51.537563800811725,15.917370319366455,15.236616134643555,16.829848289489746,26.348741054534912,0.8932232856750488,0.8472204208374023,1.2431859970092773,1.5445208549499512,64.2391284306844,62.74545192718506,75.1962423324585,90.8593583106994,24.814474068351952,300,90561,900
run_20250820_070402,Qwen/Qwen2.5-1.5B,4,1,1,512,512,8,8.0,3,0.7,0.9,64.80445782343547,63.59660625457764,77.00297832489014,96.42221927642821,32.52047856648763,31.31234645843506,42.930197715759284,54.59629297256469,16.140564680099487,15.413284301757812,16.88394546508789,25.960106849670407,0.7461706797281901,0.7138252258300781,0.9544849395751953,1.2826681137084956,65.55062850316365,64.30304050445557,77.63123512268066,97.00840950012206,24.62022033171137,300,90561,900
run_20250820_070505,Qwen/Qwen2.5-1.5B,8,1,1,512,512,8,8.0,3,0.7,0.9,66.28517468770345,64.29076194763184,78.72731685638429,97.30295419692989,32.84324884414673,31.246542930603027,44.68107223510742,58.35854053497312,16.7190416653951,15.955805778503418,17.55545139312744,26.764671802520745,0.7992792129516602,0.7506608963012695,1.102733612060547,1.4078354835510247,67.0844539006551,64.98050689697266,79.64441776275636,99.11024570465085,22.754313185384444,300,90561,900
