Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
2025-08-25_01-18-21-714753,Qwen/Qwen2.5-1.5B,1,1,1,0.04776727333333333,0.042155,0.07956950000000002,0.12302258,0.04199340333333333,0.036274,0.065301,0.10607,0.02403447,0.0204735,0.0420786,0.07462927,0.007910913333333333,0.00605,0.015006,0.021970119999999958
2025-08-25_01-18-47-821107,Qwen/Qwen2.5-1.5B,1,2,1,0.05000660333333332,0.0462945,0.0741758,0.11131615,0.043856179999999995,0.041203,0.0625973,0.094474,0.024049473333333335,0.021738,0.040941600000000015,0.06700228,0.008652366666666666,0.006902,0.014778,0.018350449999999945
2025-08-25_01-19-19-784726,Qwen/Qwen2.5-1.5B,2,1,1,0.026144423333333333,0.0221895,0.034054100000000004,0.04872928,0.024666180000000003,0.021935,0.0307935,0.046162569999999986,0.01315062,0.010963,0.0175822,0.03092722999999998,0.00433104,0.003657,0.006048,0.01171711
2025-08-25_01-19-48-666785,Qwen/Qwen2.5-1.5B,2,2,1,0.03153224999999999,0.0312275,0.038739200000000015,0.04938366999999999,0.02952817333333333,0.028469,0.033536,0.04628935999999999,0.01396716666666667,0.011127,0.019491500000000005,0.028853449999999958,0.005854936666666667,0.005205,0.006894,0.01171503
2025-08-25_01-20-21-143505,Qwen/Qwen2.5-1.5B,4,1,1,0.022236153333333338,0.021935,0.021935,0.029107,0.022141786666666673,0.021935,0.021935,0.02910205,0.011096816666666667,0.010963,0.010963,0.01618376,0.0037127966666666667,0.003657,0.003657,0.00604701
2025-08-25_01-20-51-046010,Qwen/Qwen2.5-1.5B,4,2,1,0.027129629999999995,0.026742,0.026742,0.035973899999999996,0.026923049999999994,0.026742,0.026742,0.03181,0.011379623333333333,0.011127,0.011127,0.017788909999999988,0.005249993333333335,0.005205,0.005205,0.0068870699999999995
2025-08-25_01-21-23-695019,Qwen/Qwen2.5-1.5B,8,1,1,0.021935000000000003,0.021935,0.021935,0.021935,0.021935000000000003,0.021935,0.021935,0.021935,0.010963,0.010963,0.010963,0.010963,0.003657,0.003657,0.003657,0.003657
