,time_stats.all_reduce.min,time_stats.all_reduce.max,time_stats.all_reduce.mean,time_stats.all_reduce.median,time_stats.all_reduce.std,rank,num_workers,size,collective,devices_per_node,max_devices_per_node
0,0.069,0.108,0.08233333333333333,0.07,0.018153665072253466,0,8,2048,all_reduce,8,8
1,0.061,0.079,0.07033333333333334,0.07100000000000001,0.007363574011458175,0,8,10240,all_reduce,8,8
2,0.064,0.07100000000000001,0.06833333333333334,0.07,0.0030912061651652374,0,8,18432,all_reduce,8,8
3,0.056,0.063,0.059666666666666666,0.06,0.002867441755680875,0,8,26624,all_reduce,8,8
4,0.059000000000000004,0.064,0.06166666666666667,0.062,0.0020548046676563242,0,8,34816,all_reduce,8,8
5,0.04,0.061,0.053,0.058,0.009273618495495703,0,8,43008,all_reduce,8,8
6,0.046,0.06,0.055333333333333325,0.06,0.006599663291074444,0,8,51200,all_reduce,8,8
7,0.057,0.068,0.064,0.067,0.004966554808583781,0,8,59392,all_reduce,8,8
8,0.066,0.07,0.06833333333333334,0.069,0.0016996731711975965,0,8,67584,all_reduce,8,8
9,0.07200000000000001,0.076,0.07433333333333335,0.075,0.0016996731711975902,0,8,75776,all_reduce,8,8
10,0.076,0.081,0.07866666666666666,0.079,0.0020548046676563273,0,8,83968,all_reduce,8,8
11,0.088,0.09,0.08900000000000001,0.089,0.0008164965809277268,0,8,92160,all_reduce,8,8
12,0.093,0.097,0.09500000000000001,0.095,0.0016329931618554536,0,8,100352,all_reduce,8,8
13,0.10200000000000001,0.11,0.10533333333333333,0.10400000000000001,0.0033993463423951866,0,8,108544,all_reduce,8,8
14,0.111,0.117,0.114,0.114,0.00244948974278318,0,8,116736,all_reduce,8,8
15,0.11800000000000001,0.122,0.11966666666666666,0.11900000000000001,0.0016996731711975902,0,8,124928,all_reduce,8,8
16,0.11800000000000001,0.121,0.11966666666666666,0.12,0.0012472191289246422,0,8,133120,all_reduce,8,8
17,0.124,0.132,0.12733333333333333,0.126,0.003399346342395193,0,8,141312,all_reduce,8,8
18,0.136,0.14200000000000002,0.138,0.136,0.0028284271247461927,0,8,149504,all_reduce,8,8
19,0.133,0.137,0.13533333333333333,0.136,0.0016996731711975965,0,8,157696,all_reduce,8,8
20,0.138,0.14300000000000002,0.14,0.139,0.0021602468994692888,0,8,165888,all_reduce,8,8
21,0.14100000000000001,0.14400000000000002,0.1426666666666667,0.14300000000000002,0.0012472191289246482,0,8,174080,all_reduce,8,8
22,0.14100000000000001,0.14300000000000002,0.1416666666666667,0.14100000000000001,0.0009428090415820641,0,8,182272,all_reduce,8,8
23,0.14300000000000002,0.14400000000000002,0.14333333333333334,0.14300000000000002,0.00047140452079103207,0,8,190464,all_reduce,8,8
24,0.148,0.151,0.14966666666666664,0.15,0.0012472191289246482,0,8,198656,all_reduce,8,8
25,0.161,0.164,0.16266666666666665,0.163,0.0012472191289246482,0,8,206848,all_reduce,8,8
26,0.163,0.166,0.165,0.166,0.0014142135623730963,0,8,215040,all_reduce,8,8
27,0.167,0.171,0.169,0.169,0.0016329931618554536,0,8,223232,all_reduce,8,8
28,0.17300000000000001,0.177,0.17500000000000002,0.17500000000000002,0.0016329931618554421,0,8,231424,all_reduce,8,8
29,0.17300000000000001,0.17500000000000002,0.17366666666666666,0.17300000000000001,0.0009428090415820641,0,8,239616,all_reduce,8,8
30,0.17,0.179,0.17300000000000001,0.17,0.004242640687119275,0,8,247808,all_reduce,8,8
31,0.17200000000000001,0.178,0.17533333333333334,0.176,0.0024944382578492843,0,8,256000,all_reduce,8,8
32,0.184,0.186,0.18466666666666667,0.184,0.0009428090415820641,0,8,264192,all_reduce,8,8
