Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,0.017019196666666663,0.016516,0.019028900000000005,0.021830029999999993,0.01686944,0.016516,0.016516,0.021822,0.008090159999999999,0.007851,0.007851,0.012296999999999994,0.0029760300000000006,0.002888,0.002888,0.004657
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,0.016768703333333336,0.016254,0.018640800000000006,0.021835329999999997,0.01662005,0.016254,0.016254,0.021829,0.008206000000000001,0.00797,0.00797,0.012351449999999993,0.0028539333333333335,0.002761,0.002761,0.00462
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.007850999999999999,0.007851,0.007851,0.007851,0.0028880000000000004,0.002888,0.002888,0.002888
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.00797,0.00797,0.00797,0.00797,0.002761,0.002761,0.002761,0.002761
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.007850999999999999,0.007851,0.007851,0.007851,0.0028880000000000004,0.002888,0.002888,0.002888
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.016254,0.00797,0.00797,0.00797,0.00797,0.002761,0.002761,0.002761,0.002761
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.016516,0.007850999999999999,0.007851,0.007851,0.007851,0.0028880000000000004,0.002888,0.002888,0.002888
