Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
meta-llama/Meta-Llama-3-8B,1,1,1,1.0,1.0,1.0,0.04567434333333333,0.044307,0.06302180000000002,0.09836681999999998,0.04227817666666666,0.036549,0.057902,0.08138739999999993,0.02254840666666667,0.016697,0.035990600000000005,0.05958556999999996,0.007708506666666666,0.00595,0.012475,0.01914
meta-llama/Meta-Llama-3-8B,1,2,1,1.0,2.0,1.0,0.0355752,0.032778,0.046652,0.07513498999999996,0.032989956666666674,0.029867,0.039606,0.065045,0.01795279,0.013977,0.0277481,0.046284249999999985,0.005874130000000001,0.004615,0.00765,0.01395316999999998
meta-llama/Meta-Llama-3-8B,1,4,1,1.0,4.0,1.0,0.035448436666666666,0.034460500000000005,0.0434644,0.06423598999999997,0.033323500000000006,0.031713,0.040122,0.059811,0.015588543333333333,0.012091,0.023385500000000004,0.037234989999999996,0.006619743333333333,0.005861,0.007646,0.012235049999999999
meta-llama/Meta-Llama-3-8B,1,8,1,1.0,8.0,1.0,0.03190360666666667,0.030010000000000002,0.03885620000000001,0.059490989999999966,0.029898983333333334,0.027151,0.0359746,0.052692,0.013782183333333335,0.010788,0.0206751,0.034869279999999996,0.006040316666666666,0.005454,0.007009,0.009311
meta-llama/Meta-Llama-3-8B,2,1,1,2.0,1.0,1.0,0.03629205666666666,0.034518,0.044307,0.05521233999999997,0.035711303333333326,0.034518,0.036549,0.054160789999999966,0.017542096666666663,0.016697,0.019113200000000007,0.029028109999999958,0.0062496999999999995,0.00594,0.00595,0.00921903
meta-llama/Meta-Llama-3-8B,2,2,1,2.0,2.0,1.0,0.029069546666666668,0.027822,0.033690300000000006,0.04336986999999998,0.028663423333333344,0.027822,0.029873,0.038972,0.014526669999999998,0.013977,0.013977,0.022444279999999997,0.004847623333333334,0.004615,0.004615,0.00765
meta-llama/Meta-Llama-3-8B,2,4,1,2.0,4.0,1.0,0.030643336666666673,0.029675,0.035021000000000004,0.039916639999999996,0.030228903333333338,0.029675,0.031731,0.037068,0.012649333333333335,0.012091,0.01226420000000004,0.020876469999999998,0.005997689999999999,0.005861,0.005861,0.007646
meta-llama/Meta-Llama-3-8B,4,1,1,4.0,1.0,1.0,0.03464104666666666,0.034518,0.034518,0.04047483999999998,0.03459660666666666,0.034518,0.034518,0.03652,0.016754786666666664,0.016697,0.016697,0.016727859999999973,0.005961753333333333,0.00594,0.00594,0.00594
meta-llama/Meta-Llama-3-8B,4,2,1,4.0,2.0,1.0,0.02785888000000001,0.027822,0.027822,0.027838209999999985,0.027822000000000006,0.027822,0.027822,0.027822,0.014013880000000001,0.013977,0.013977,0.013993209999999985,0.004615,0.004615,0.004615,0.004615
meta-llama/Meta-Llama-3-8B,8,1,1,8.0,1.0,1.0,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.034518,0.016696999999999997,0.016697,0.016697,0.016697,0.00594,0.00594,0.00594,0.00594
