Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,0.06533056333333333,0.060774999999999996,0.08398180000000001,0.13315523999999995,0.06097330333333333,0.054593,0.0733438,0.121364,0.03234674333333334,0.025859,0.04831270000000003,0.08030571999999998,0.010994653333333335,0.008997,0.013705,0.024698379999999954
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,0.050224639999999994,0.03628,0.081578,0.14029023999999995,0.04654136,0.03628,0.062837,0.132398,0.03179665,0.026037,0.048428900000000004,0.08965971999999998,0.006142480000000001,0.003414,0.010968,0.026852729999999932
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,0.054795090000000005,0.052849,0.06217520000000003,0.07661126999999995,0.054054740000000004,0.052849,0.054611,0.068719,0.026722653333333332,0.025859,0.02590460000000001,0.03981816999999999,0.009357750000000001,0.008997,0.008997,0.013705
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,0.037899433333333336,0.03628,0.0382057,0.06877808999999993,0.03756895333333333,0.03628,0.03628,0.06067,0.026448263333333336,0.026037,0.026037,0.03712828999999998,0.0038167633333333335,0.003414,0.003414,0.010968
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,0.052924963333333325,0.052849,0.052849,0.05288620999999997,0.05284899999999999,0.052849,0.052849,0.052849,0.025934969999999995,0.025859,0.025859,0.025896209999999965,0.008997000000000002,0.008997,0.008997,0.008997
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,0.03628,0.03628,0.03628,0.03628,0.03628,0.03628,0.03628,0.03628,0.026037,0.026037,0.026037,0.026037,0.003413999999999999,0.003414,0.003414,0.003414
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,0.05284899999999999,0.052849,0.052849,0.052849,0.05284899999999999,0.052849,0.052849,0.052849,0.025858999999999997,0.025859,0.025859,0.025859,0.008997000000000002,0.008997,0.008997,0.008997
