Timestamp,Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Max_Batch_Tokens,Max_Num_Seqs,Concurrency,QPS,Max_Tokens,Temperature,Top_P,Total_Gen_Avg,Total_Gen_P50,Total_Gen_P90,Total_Gen_P99,First_Token_Avg,First_Token_P50,First_Token_P90,First_Token_P99,Inter_Token_Avg,Inter_Token_P50,Inter_Token_P90,Inter_Token_P99,Schedule_Delay_Avg,Schedule_Delay_P50,Schedule_Delay_P90,Schedule_Delay_P99,E2E_Latency_Avg,E2E_Latency_P50,E2E_Latency_P90,E2E_Latency_P99,Throughput,Total_Requests,Total_Input_Tokens,Total_Output_Tokens,Process_Time_Seconds,Total_Time_With_Init_Seconds
run_20250820_065644,Qwen/Qwen2.5-1.5B,1,1,1,512,512,8,10.0,3,0.7,0.9,44.60759878158569,42.143940925598145,52.79762744903565,63.267152309417696,17.52630392710368,14.832854270935059,25.517201423645023,34.53698873519895,13.53904922803243,13.270020484924316,14.390969276428223,15.717165470123291,0.8749953905741373,0.8332729339599609,1.1496305465698242,1.5601825714111317,45.48259417215983,43.00427436828613,53.553318977355964,63.92222166061398,29.439004802604636,300,90561,900,30.583,48.121
run_20250820_065742,Qwen/Qwen2.5-1.5B,2,1,1,512,512,8,10.0,3,0.7,0.9,47.17632611592611,45.89653015136719,53.81548404693604,67.35809326171875,19.691508611043293,18.66018772125244,26.288414001464847,39.36197042465209,13.740938901901245,13.472914695739746,14.388155937194824,16.5972065925598,0.8424687385559082,0.7910728454589844,1.0877370834350586,1.4486479759216302,48.01879485448202,46.830177307128906,54.68564033508302,68.7276816368103,28.102795623988364,300,90561,900,32.037,49.381
run_20250820_065841,Qwen/Qwen2.5-1.5B,4,1,1,512,512,8,10.0,3,0.7,0.9,49.1434907913208,47.34325408935547,57.59551525115967,91.39472484588607,21.257611115773518,19.65808868408203,29.671597480773926,58.91660690307614,13.941353559494019,13.68248462677002,14.768934249877931,16.507775783538804,0.973524252573649,0.8920431137084961,1.313567161560059,1.9122266769409177,50.11701504389445,48.34568500518799,58.47592353820801,92.55841016769395,29.47255890780024,300,90561,900,30.548,48.935
run_20250820_065940,Qwen/Qwen2.5-1.5B,8,1,1,512,512,8,10.0,3,0.7,0.9,50.844101905822754,48.967599868774414,58.493804931640625,88.46820354461666,21.989043553670246,20.464777946472168,29.51438426971436,55.80892086029048,14.425872961680094,14.054059982299805,15.090179443359375,20.335235595703057,1.0182468096415203,0.9266138076782227,1.45261287689209,1.8871045112609832,51.86234871546427,49.973249435424805,59.49018001556397,90.53433179855342,33.55092446985965,300,90561,900,26.837,47.532
run_20250820_070037,Qwen/Qwen2.5-1.5B,1,2,1,512,512,8,10.0,3,0.7,0.9,57.23678191502889,50.30167102813721,65.31500816345215,164.77003574371219,23.551167647043865,19.144058227539062,33.08863639831544,43.83283853530879,16.841290791829426,15.982389450073242,18.64638328552246,22.010121345520012,0.8186284701029459,0.7698535919189453,1.0557174682617188,1.3673973083496087,58.055410385131836,51.11706256866455,66.09869003295898,165.90635776519656,30.258704266822384,300,90561,900,29.754,50.197
run_20250820_070138,Qwen/Qwen2.5-1.5B,2,2,1,512,512,8,10.0,3,0.7,0.9,59.56611633300781,58.34782123565674,67.15531349182129,84.72313880920397,26.79015239079793,25.631189346313477,34.4271183013916,49.57924604415892,16.386252244313557,16.31772518157959,18.005681037902832,21.827518939971924,1.039125919342041,0.9859800338745117,1.3935327529907229,1.8698859214782682,60.60524225234985,59.26835536956787,68.31676959991455,85.5868816375731,30.499099115634554,300,90561,900,29.521,49.659
run_20250820_070238,Qwen/Qwen2.5-1.5B,4,2,1,512,512,8,10.0,3,0.7,0.9,65.42413393656413,61.80250644683838,74.28247928619385,219.8249697685239,29.69506025314331,26.98218822479248,37.10067272186279,116.71239614486666,17.952698159657132,16.811370849609375,20.01056671142578,35.992145538329915,0.9241914749145508,0.8693933486938477,1.2137651443481445,1.5303516387939444,66.34832541147868,62.72602081298828,75.29916763305664,221.8832159042356,26.51986600547655,300,90561,900,33.949,57.522
run_20250820_070346,Qwen/Qwen2.5-1.5B,1,4,1,512,512,8,10.0,3,0.7,0.9,56.32586161295573,52.77609825134277,64.74113464355469,84.48743104934682,23.121836980183918,20.72882652282715,31.441259384155273,45.42224407196042,16.600422461827595,16.55101776123047,19.250726699829105,21.662118434906002,0.8382471402486166,0.7876157760620117,1.0929822921752934,1.38127326965332,57.164108753204346,53.7722110748291,65.55707454681396,85.66073417663564,29.355861745102796,300,90561,900,30.67,52.055
run_20250820_070449,Qwen/Qwen2.5-1.5B,2,4,1,512,512,8,10.0,3,0.7,0.9,64.35681184132893,58.97533893585205,68.0239200592041,237.04507112503018,29.270916779836018,25.559067726135254,34.56902503967286,128.17236900329584,17.541120847066242,16.524434089660645,18.288254737854004,53.83535385131836,1.197965145111084,1.149892807006836,1.6148328781127939,2.1096372604370113,65.55477698644002,60.31954288482666,69.13359165191652,240.09343147277798,33.49653140083828,300,90561,900,26.88,50.68
run_20250820_164612,meta-llama/Meta-Llama-3-8B,1,1,1,512,512,8,10.0,3,0.7,0.9,78.44497760136922,74.77009296417236,105.38890361785889,136.42518281936643,39.96564865112305,34.30509567260742,59.45484638214112,90.94623327255242,19.238226016362507,15.862107276916504,30.168557167053226,38.92311096191406,0.7234891255696615,0.6976127624511719,0.9198188781738283,1.1843180656433105,79.16846672693889,75.40738582611084,106.04743957519533,137.51974821090698,27.870010395206723,300,94752,900,32.303,53.684
