Model,Compute_Profile,Network_Device,VLLM_Device,QPS,VLLM_P50_Config,VLLM_P90_Config,VLLM_P99_Config,VLLM_P50,VLLM_P90,VLLM_P99,Vidur_P50_Config,Vidur_P90_Config,Vidur_P99_Config,Vidur_P50,Vidur_P90,Vidur_P99,Ratio_P50,Ratio_P90,Ratio_P99,VLLM_Latency_Ratio_P50,VLLM_Latency_Ratio_P90,VLLM_Latency_Ratio_P99,R1TP1PP1_vs_VLLM_Min_P50,R1TP1PP1_vs_VLLM_Min_P90,R1TP1PP1_vs_VLLM_Min_P99,Random_Config_P50,Random_Config_P90,Random_Config_P99,Avg_Pred_Error_P50,Avg_Pred_Error_P90,Avg_Pred_Error_P99
meta-llama/Meta-Llama-3-8B,a100_p4d,p4d_a100_40g_nvlink,a100_p4d,4,R1-TP4-PP1,R1-TP4-PP1,R1-TP4-PP1,0.05690610408782959,0.06657948493957519,0.07916743040084838,R1-TP8-PP1,R1-TP8-PP1,R1-TP8-PP1,0.032928,0.034846,0.041984,1.7281980104418608,1.9106779813917003,1.8856571646543536,1.0030731330245537,1.0154647407777706,1.0193941755013445,1.2308306257502153,1.3477586403232036,1.4479068611697792,1.2457144772426854,1.3487083113402611,1.4101086855994083,-24.556186444403806,-31.885042820219162,-36.60958930335746
meta-llama/Meta-Llama-3-8B,a100_p4d,p4d_a100_40g_nvlink,a100_p4d,8,R1-TP4-PP1,R1-TP4-PP1,R1-TP8-PP1,0.05801975727081299,0.07348065376281739,0.08529709100723265,R1-TP8-PP1,R2-TP4-PP1,R2-TP4-PP1,0.032928,0.04023,0.0511830699999999,1.7620188675538444,1.8265138892074915,1.666509863656729,1.00195190104889,1.0737604972352386,1.450748295102276,1.3716049763203584,1.4730428468248886,1.7229521039312372,1.3716049763203584,1.4730428468248886,1.7229521039312372,-24.942566567453767,-31.11922577292429,-29.12473624053378
meta-llama/Meta-Llama-3-8B,a100_p4d,p4d_a100_40g_nvlink,a100_p4d,10,R1-TP8-PP1,R1-TP8-PP1,R1-TP8-PP1,0.05904841423034668,0.07459218502044677,0.09619649410247764,R1-TP8-PP1,R2-TP4-PP1,R2-TP4-PP1,0.032928,0.042136,0.053091,1.7932584496582447,1.7702720956058187,1.8119171630309778,1.0,1.1495494982936583,1.1391483100389277,1.2662506510758398,1.412867897474384,1.4181928779445263,1.302496901080887,1.3634672506083347,1.2789130363554049,-27.930285836596028,-31.158276072595037,-25.889223743736313
meta-llama/Meta-Llama-3-8B,a100_p4d,p4d_a100_40g_nvlink,a100_p4d,29,R2-TP4-PP1,R2-TP4-PP1,R2-TP4-PP1,0.07183623313903809,0.08253657817840576,0.12141041278839111,R2-TP4-PP1,R4-TP2-PP1,R8-TP1-PP1,0.04023,0.051494,0.062484,1.7856384076320677,1.6028387419583983,1.9430640290056833,1.0,1.1194695876608796,1.1873783192570422,2.003418485710398,2.7996276541198535,2.3808862000826414,1.2930173280717416,1.4413613011596458,1.142470395331261,-26.9482846287007,-17.668273371577868,-16.79689559765668
