Model,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,Num_Replicas,Tensor_Parallel,Pipeline_Parallel,E2E_Avg,E2E_P50,E2E_P90,E2E_P99,Exec_Avg,Exec_P50,Exec_P90,Exec_P99,TTFT_Avg,TTFT_P50,TTFT_P90,TTFT_P99,ITL_Avg,ITL_P50,ITL_P90,ITL_P99
Qwen/Qwen2.5-1.5B,1,1,1,1.0,1.0,1.0,0.02438283,0.021935,0.029107,0.039619799999999906,0.023517733333333336,0.021935,0.029102,0.0363889099999999,0.012207073333333334,0.010963,0.016229500000000004,0.022698029999999994,0.004058333333333334,0.003657,0.006047,0.00841324
Qwen/Qwen2.5-1.5B,1,2,1,1.0,2.0,1.0,0.029453589999999998,0.026742,0.035053100000000004,0.04971476999999998,0.02831186666666666,0.026742,0.03181,0.04628935999999999,0.012762439999999998,0.011127,0.0183765,0.02611425999999999,0.005563650000000001,0.005205,0.006894,0.00857502
Qwen/Qwen2.5-1.5B,2,1,1,2.0,1.0,1.0,0.022036986666666668,0.021935,0.021935,0.025871159999999987,0.021994086666666673,0.021935,0.021935,0.023626050000000003,0.011017166666666668,0.010963,0.010963,0.013826149999999995,0.0036729433333333333,0.003657,0.003657,0.00365702
Qwen/Qwen2.5-1.5B,2,2,1,2.0,2.0,1.0,0.026898406666666663,0.026742,0.026742,0.03178822,0.026832453333333332,0.026742,0.026742,0.031788,0.011215966666666665,0.011127,0.011127,0.015094619999999998,0.005227473333333335,0.005205,0.005205,0.006887
Qwen/Qwen2.5-1.5B,4,1,1,4.0,1.0,1.0,0.021935000000000003,0.021935,0.021935,0.021935,0.021935000000000003,0.021935,0.021935,0.021935,0.010963,0.010963,0.010963,0.010963,0.003657,0.003657,0.003657,0.003657
Qwen/Qwen2.5-1.5B,4,2,1,4.0,2.0,1.0,0.026741999999999995,0.026742,0.026742,0.026742,0.026741999999999995,0.026742,0.026742,0.026742,0.011127,0.011127,0.011127,0.011127,0.005205,0.005205,0.005205,0.005205
Qwen/Qwen2.5-1.5B,8,1,1,8.0,1.0,1.0,0.021935000000000003,0.021935,0.021935,0.021935,0.021935000000000003,0.021935,0.021935,0.021935,0.010963,0.010963,0.010963,0.010963,0.003657,0.003657,0.003657,0.003657
